station_id,name,lon,lat,elev_m,tzname,state
19A,Jackson County Airport,-83.5616,34.1759,290.0,America/New_York,GA
JZP,Jasper,-84.4572,34.4535,457.98755,America/New_York,GA
JCA,Jefferson,-83.5583,34.1739,283.64853,America/New_York,GA
JES,Jesup,-81.8825,31.553972,32.6,America/New_York,GA
9A5,LaFayette,-85.2903,34.6885,236.01266,America/New_York,GA
LGC,LA_GRANGE,-85.07261,33.00886,211.0,America/New_York,GA
LZU,LAWRENCEVILLE,-83.96238,33.97808,323.0,America/New_York,GA
2J3,Louisville,-82.3857,32.9865,97.598885,America/New_York,GA
MCN,MACON/LEWIS WILSON,-83.64921,32.69285,110.0,America/New_York,GA
RYY,MARIETTA,-84.59861,34.01306,317.0,America/New_York,GA
MQW,Mc Rae,-82.8794,32.0969,60.0,America/New_York,GA
MHP,Metter,-82.081,32.3739,58.887756,America/New_York,GA
MLJ,Milledgeville,-83.2406944,33.1541667,117.0,America/New_York,GA
2J5,Millen,-81.9654,32.8935,67.51578,America/New_York,GA
D73,Monroe,-83.6928,33.7825,256.9343,America/New_York,GA
VAD,MOODY AFB/VALDOSTA,-83.193,30.96783,71.0,America/New_York,GA
MGR,MOULTRIE,-83.80325,31.08492,90.0,America/New_York,GA
MUL,MOULTRIE/SPENCE,-83.70406,31.13769,89.0,America/New_York,GA
CCO,NEWNAN COWETA COUNTY AIRPORT,-84.77,33.31,296.0,America/New_York,GA
FFC,PEACHTREE CITY,-84.56694,33.35528,264.0,America/New_York,GA
PXE,Perry,-83.7673,32.5106,125.39239,America/New_York,GA
PIM,Pine Mountain,-84.8824,32.8407,272.0958,America/New_York,GA
RVJ,Reidsville,-82.153576,32.059487,57.213497,America/New_York,GA
RMG,ROME/RUSSELL(RAMOS),-85.16111,34.34778,196.0,America/New_York,GA
OKZ,Sandersville,-82.8382,32.9667,128.72356,America/New_York,GA
SAV,Savannah - Hilton Head,-81.20230227,32.13136751,9.0,America/New_York,GA
6A2,Spalding,-84.2749,33.227,292.0,America/New_York,GA
TBR,STATESBORO/BULLOCH CO,-81.73694,32.48274,57.0,America/New_York,GA
SBO,Swainsboro,-82.3699444,32.6091389,327.0,America/New_York,GA
JYL,SYLVANIA,-81.59711,32.64528,57.0,America/New_York,GA
OPN,THOMASTON,-84.25937,32.95395,243.0,America/New_York,GA
TVI,Thomasville,-83.8811285,30.9017921,80.0,America/New_York,GA
HQU,THOMSON,-82.51639,33.52972,152.0,America/New_York,GA
TMA,Tifton,-83.488545,31.4289814,108.2,America/New_York,GA
TOC,Toccoa,-83.2964,34.5928,295.5283,America/New_York,GA
VLD,VALDOSTA REGIONAL,-83.27667,30.7825,62.0,America/New_York,GA
VDI,VIDALIA MUNI AIRPORT,-82.37,32.19,84.0,America/New_York,GA
5A9,Warm Springs,-84.6964,32.9385,265.0,America/New_York,GA
WRB,WARNER ROBINS AFB,-83.59185,32.64014,90.0,America/New_York,GA
IIY,Washington,-82.8158333,33.7794167,191.41869,America/New_York,GA
AYS,WAYCROSS/WARE CO.,-82.39549,31.24908,46.0,America/New_York,GA
WDR,WINDER,-83.66742,33.98286,287.0,America/New_York,GA
AXA,Algona,-94.2723694444,43.0796472222,368.8,America/Chicago,IA
AMW,Ames,-93.618515,41.990439,280.0,America/Chicago,IA
IKV,ANKENY,-93.569475,41.6878083333,270.7,America/Chicago,IA
AIO,ATLANTIC,-95.0465277778,41.4058805556,351.7,America/Chicago,IA
ADU,AUDUBON,-94.9204416667,41.6993527778,399.3,America/Chicago,IA
BNW,BOONE MUNI,-93.848575,42.0485694444,349.3,America/Chicago,IA
BRL,BURLINGTON,-91.125494,40.772929,213.0,America/Chicago,IA
CIN,CARROLL,-94.7888805556,42.0443611111,365.2,America/Chicago,IA
CID,CEDAR RAPIDS,-91.724588,41.882899,265.0,America/Chicago,IA
TVK,Centerville,-92.8983388889,40.6831805556,313.0,America/Chicago,IA
CNC,CHARITON,-93.3607694444,41.0184305556,319.1,America/Chicago,IA
CCY,Charles City,-92.6132222222,43.0730055556,340.2,America/Chicago,IA
CKP,Cherokee,-95.553775,42.7304194444,373.7,America/Chicago,IA
ICL,CLARINDA,-95.0222722222,40.7241527778,298.1,America/Chicago,IA
CAV,CLARION,-93.7592583333,42.7430416667,350.2,America/Chicago,IA
CWI,CLINTON,-90.332796,41.829504,216.0,America/Chicago,IA
CBF,COUNCIL BLUFFS,-95.7604083333,41.2611111111,378.0,America/Chicago,IA
CSQ,CRESTON,-94.3607972222,41.0187888889,393.2,America/Chicago,IA
DEH,DECORAH,-91.7433138889,43.2755194444,352.7,America/Chicago,IA
